"period","zone","age","measure","value"
"2008-2010","S01001794","19 And Under","Count",0
"2010-2012","S01001794","All","Count",10
"2009-2011","S01001794","19 And Under","Count",0
"2002-2004","S01001794","All","Count",7
"2009-2011","S01001794","All","Count",11
"2010-2012","S01001794","19 And Under","Count",0
"2000-2002","S01001794","19 And Under","Count",1
"2000-2002","S01001794","All","Count",6
"2011-2013","S01001794","19 And Under","Count",0
"2008-2010","S01001794","All","Count",8
"2001-2003","S01001794","19 And Under","Ratio",40
"2002-2004","S01001794","19 And Under","Ratio","42.86"
"2003-2005","S01001794","19 And Under","Ratio","66.67"
"2004-2006","S01001794","19 And Under","Ratio","33.33"
"2005-2007","S01001794","19 And Under","Ratio","16.67"
"2006-2008","S01001794","19 And Under","Ratio",0
"2007-2009","S01001794","19 And Under","Ratio",0
"2008-2010","S01001794","19 And Under","Ratio",0
"2009-2011","S01001794","19 And Under","Ratio",0
"2010-2012","S01001794","19 And Under","Ratio",0
"2000-2002","S01001794","19 And Under","Ratio","16.67"
"2011-2013","S01001794","19 And Under","Ratio",0
"2003-2005","S01001794","35 And Over","Ratio",0
"2008-2010","S01001794","35 And Over","Ratio","37.5"
"2009-2011","S01001794","35 And Over","Ratio","45.45"
"2002-2004","S01001794","35 And Over","Ratio",0
"2000-2002","S01001794","35 And Over","Ratio",0
"2004-2006","S01001794","35 And Over","Ratio",50
"2005-2007","S01001794","35 And Over","Ratio",50
"2001-2003","S01001794","35 And Over","Ratio",0
"2006-2008","S01001794","35 And Over","Ratio","42.86"
"2007-2009","S01001794","35 And Over","Ratio","16.67"
"2011-2013","S01001794","35 And Over","Ratio",30
"2010-2012","S01001794","35 And Over","Ratio",50
"2011-2013","S01001795","35 And Over","Count",1
"2001-2003","S01001795","19 And Under","Count",0
"2010-2012","S01001795","All","Count",4
"2008-2010","S01001795","35 And Over","Count",3
"2002-2004","S01001795","19 And Under","Count",0
"2009-2011","S01001795","35 And Over","Count",3
"2001-2003","S01001795","35 And Over","Count",1
"2007-2009","S01001795","All","Count",8
"2000-2002","S01001795","35 And Over","Count",0
"2004-2006","S01001795","35 And Over","Count",0
"2005-2007","S01001795","35 And Over","Count",1
"2003-2005","S01001795","All","Count",9
"2003-2005","S01001795","19 And Under","Count",0
"2006-2008","S01001795","All","Count",8
"2006-2008","S01001795","35 And Over","Count",1
"2004-2006","S01001795","19 And Under","Count",0
"2005-2007","S01001795","19 And Under","Count",0
"2001-2003","S01001795","All","Count",8
"2010-2012","S01001795","35 And Over","Count",3
"2007-2009","S01001795","35 And Over","Count",2
"2003-2005","S01001795","35 And Over","Count",1
"2002-2004","S01001795","35 And Over","Count",1
"2006-2008","S01001795","19 And Under","Count",0
"2004-2006","S01001795","All","Count",9
"2007-2009","S01001795","19 And Under","Count",0
"2005-2007","S01001795","All","Count",10
"2000-2002","S01001795","All","Count",9
"2008-2010","S01001795","19 And Under","Count",0
"2009-2011","S01001795","19 And Under","Count",0
"2009-2011","S01001795","All","Count",5
"2010-2012","S01001795","19 And Under","Count",0
"2002-2004","S01001795","All","Count",7
"2008-2010","S01001795","All","Count",6
"2000-2002","S01001795","19 And Under","Count",0
"2011-2013","S01001795","All","Count",2
"2011-2013","S01001795","19 And Under","Count",0
"2001-2003","S01001795","19 And Under","Ratio",0
"2002-2004","S01001795","19 And Under","Ratio",0
"2003-2005","S01001795","19 And Under","Ratio",0
"2004-2006","S01001795","19 And Under","Ratio",0
"2005-2007","S01001795","19 And Under","Ratio",0
"2006-2008","S01001795","19 And Under","Ratio",0
"2007-2009","S01001795","19 And Under","Ratio",0
"2008-2010","S01001795","19 And Under","Ratio",0
"2009-2011","S01001795","19 And Under","Ratio",0
"2010-2012","S01001795","19 And Under","Ratio",0
"2000-2002","S01001795","19 And Under","Ratio",0
"2011-2013","S01001795","19 And Under","Ratio",0
"2003-2005","S01001795","35 And Over","Ratio","11.11"
"2000-2002","S01001795","35 And Over","Ratio",0
"2009-2011","S01001795","35 And Over","Ratio",60
"2002-2004","S01001795","35 And Over","Ratio","14.29"
"2005-2007","S01001795","35 And Over","Ratio",10
"2011-2013","S01001795","35 And Over","Ratio",50
"2001-2003","S01001795","35 And Over","Ratio","12.5"
"2004-2006","S01001795","35 And Over","Ratio",0
"2006-2008","S01001795","35 And Over","Ratio","12.5"
"2010-2012","S01001795","35 And Over","Ratio",75
"2007-2009","S01001795","35 And Over","Ratio",25
"2008-2010","S01001795","35 And Over","Ratio",50
"2008-2010","S01001796","35 And Over","Count",0
"2003-2005","S01001796","All","Count",2
"2000-2002","S01001796","35 And Over","Count",2
"2001-2003","S01001796","19 And Under","Count",0
"2007-2009","S01001796","All","Count",3
"2002-2004","S01001796","19 And Under","Count",0
"2009-2011","S01001796","35 And Over","Count",1
"2011-2013","S01001796","35 And Over","Count",1
"2001-2003","S01001796","All","Count",4
"2003-2005","S01001796","19 And Under","Count",0
"2006-2008","S01001796","All","Count",1
"2004-2006","S01001796","19 And Under","Count",0
"2005-2007","S01001796","35 And Over","Count",0
"2002-2004","S01001796","35 And Over","Count",2
"2006-2008","S01001796","35 And Over","Count",0
"2004-2006","S01001796","35 And Over","Count",1
"2005-2007","S01001796","19 And Under","Count",0
"2010-2012","S01001796","35 And Over","Count",1
"2003-2005","S01001796","35 And Over","Count",1
"2004-2006","S01001796","All","Count",2
"2006-2008","S01001796","19 And Under","Count",0
"2011-2013","S01001796","All","Count",2
"2007-2009","S01001796","35 And Over","Count",0
"2001-2003","S01001796","35 And Over","Count",2
"2005-2007","S01001796","All","Count",1
"2007-2009","S01001796","19 And Under","Count",0
"2008-2010","S01001796","19 And Under","Count",0
"2010-2012","S01001796","All","Count",2
"2009-2011","S01001796","19 And Under","Count",0
"2002-2004","S01001796","All","Count",4
"2009-2011","S01001796","All","Count",4
"2010-2012","S01001796","19 And Under","Count",0
"2000-2002","S01001796","19 And Under","Count",0
"2000-2002","S01001796","All","Count",4
"2011-2013","S01001796","19 And Under","Count",0
"2008-2010","S01001796","All","Count",2
"2001-2003","S01001796","19 And Under","Ratio",0
"2002-2004","S01001796","19 And Under","Ratio",0
"2003-2005","S01001796","19 And Under","Ratio",0
"2004-2006","S01001796","19 And Under","Ratio",0
"2005-2007","S01001796","19 And Under","Ratio",0
"2006-2008","S01001796","19 And Under","Ratio",0
"2007-2009","S01001796","19 And Under","Ratio",0
"2008-2010","S01001796","19 And Under","Ratio",0
"2009-2011","S01001796","19 And Under","Ratio",0
"2010-2012","S01001796","19 And Under","Ratio",0
"2000-2002","S01001796","19 And Under","Ratio",0
"2011-2013","S01001796","19 And Under","Ratio",0
"2003-2005","S01001796","35 And Over","Ratio",50
"2008-2010","S01001796","35 And Over","Ratio",0
"2009-2011","S01001796","35 And Over","Ratio",25
"2002-2004","S01001796","35 And Over","Ratio",50
"2000-2002","S01001796","35 And Over","Ratio",50
"2004-2006","S01001796","35 And Over","Ratio",50
"2005-2007","S01001796","35 And Over","Ratio",0
"2001-2003","S01001796","35 And Over","Ratio",50
"2006-2008","S01001796","35 And Over","Ratio",0
"2007-2009","S01001796","35 And Over","Ratio",0
"2011-2013","S01001796","35 And Over","Ratio",50
"2010-2012","S01001796","35 And Over","Ratio",50
"2008-2010","S01001797","35 And Over","Count",2
"2003-2005","S01001797","All","Count",9
"2000-2002","S01001797","35 And Over","Count",0
"2001-2003","S01001797","19 And Under","Count",0
"2007-2009","S01001797","All","Count",9
"2002-2004","S01001797","19 And Under","Count",1
"2009-2011","S01001797","35 And Over","Count",3
"2011-2013","S01001797","35 And Over","Count",3
"2001-2003","S01001797","All","Count",7
"2003-2005","S01001797","19 And Under","Count",1
"2006-2008","S01001797","All","Count",7
"2004-2006","S01001797","19 And Under","Count",2
"2005-2007","S01001797","35 And Over","Count",0
"2002-2004","S01001797","35 And Over","Count",1
"2006-2008","S01001797","35 And Over","Count",0
"2004-2006","S01001797","35 And Over","Count",1
"2005-2007","S01001797","19 And Under","Count",1
"2010-2012","S01001797","35 And Over","Count",3
"2003-2005","S01001797","35 And Over","Count",1
"2004-2006","S01001797","All","Count",6
"2006-2008","S01001797","19 And Under","Count",1
"2011-2013","S01001797","All","Count",5
"2007-2009","S01001797","35 And Over","Count",1
"2001-2003","S01001797","35 And Over","Count",0
"2005-2007","S01001797","All","Count",4
"2007-2009","S01001797","19 And Under","Count",1
"2008-2010","S01001797","19 And Under","Count",1
"2010-2012","S01001797","All","Count",8
"2009-2011","S01001797","19 And Under","Count",1
"2002-2004","S01001797","All","Count",10
"2009-2011","S01001797","All","Count",9
"2010-2012","S01001797","19 And Under","Count",0
"2000-2002","S01001797","19 And Under","Count",0
"2000-2002","S01001797","All","Count",4
"2011-2013","S01001797","19 And Under","Count",0
"2008-2010","S01001797","All","Count",11
"2001-2003","S01001797","19 And Under","Ratio",0
"2002-2004","S01001797","19 And Under","Ratio",10
"2003-2005","S01001797","19 And Under","Ratio","11.11"
"2004-2006","S01001797","19 And Under","Ratio","33.33"
"2005-2007","S01001797","19 And Under","Ratio",25
"2006-2008","S01001797","19 And Under","Ratio","14.29"
"2007-2009","S01001797","19 And Under","Ratio","11.11"
"2008-2010","S01001797","19 And Under","Ratio","9.09"
"2009-2011","S01001797","19 And Under","Ratio","11.11"
"2010-2012","S01001797","19 And Under","Ratio",0
"2000-2002","S01001797","19 And Under","Ratio",0
"2011-2013","S01001797","19 And Under","Ratio",0
"2003-2005","S01001797","35 And Over","Ratio","11.11"
"2008-2010","S01001797","35 And Over","Ratio","18.18"
"2009-2011","S01001797","35 And Over","Ratio","33.33"
"2002-2004","S01001797","35 And Over","Ratio",10
"2000-2002","S01001797","35 And Over","Ratio",0
"2004-2006","S01001797","35 And Over","Ratio","16.67"
"2005-2007","S01001797","35 And Over","Ratio",0
"2001-2003","S01001797","35 And Over","Ratio",0
"2006-2008","S01001797","35 And Over","Ratio",0
"2007-2009","S01001797","35 And Over","Ratio","11.11"
"2011-2013","S01001797","35 And Over","Ratio",60
"2010-2012","S01001797","35 And Over","Ratio","37.5"
"2008-2010","S01001798","35 And Over","Count",3
"2003-2005","S01001798","All","Count",6
"2000-2002","S01001798","35 And Over","Count",6
"2001-2003","S01001798","19 And Under","Count",0
"2007-2009","S01001798","All","Count",5
"2002-2004","S01001798","19 And Under","Count",0
"2009-2011","S01001798","35 And Over","Count",2
"2011-2013","S01001798","35 And Over","Count",1
"2001-2003","S01001798","All","Count",8
"2003-2005","S01001798","19 And Under","Count",0
"2006-2008","S01001798","All","Count",7
"2004-2006","S01001798","19 And Under","Count",0
"2005-2007","S01001798","35 And Over","Count",1
"2002-2004","S01001798","35 And Over","Count",3
"2006-2008","S01001798","35 And Over","Count",2
"2004-2006","S01001798","35 And Over","Count",1
"2005-2007","S01001798","19 And Under","Count",0
"2010-2012","S01001798","35 And Over","Count",1
"2003-2005","S01001798","35 And Over","Count",3
"2004-2006","S01001798","All","Count",7
"2006-2008","S01001798","19 And Under","Count",0
"2011-2013","S01001798","All","Count",2
"2007-2009","S01001798","35 And Over","Count",3
"2001-2003","S01001798","35 And Over","Count",7
"2005-2007","S01001798","All","Count",4
"2007-2009","S01001798","19 And Under","Count",0
"2008-2010","S01001798","19 And Under","Count",0
"2010-2012","S01001798","All","Count",3
"2009-2011","S01001798","19 And Under","Count",0
"2002-2004","S01001798","All","Count",6
"2009-2011","S01001798","All","Count",4
"2010-2012","S01001798","19 And Under","Count",0
"2000-2002","S01001798","19 And Under","Count",0
"2000-2002","S01001798","All","Count",8
"2011-2013","S01001798","19 And Under","Count",0
"2008-2010","S01001798","All","Count",6
"2001-2003","S01001798","19 And Under","Ratio",0
"2002-2004","S01001798","19 And Under","Ratio",0
"2003-2005","S01001798","19 And Under","Ratio",0
"2004-2006","S01001798","19 And Under","Ratio",0
"2005-2007","S01001798","19 And Under","Ratio",0
"2006-2008","S01001798","19 And Under","Ratio",0
"2007-2009","S01001798","19 And Under","Ratio",0
"2008-2010","S01001798","19 And Under","Ratio",0
"2009-2011","S01001798","19 And Under","Ratio",0
"2010-2012","S01001798","19 And Under","Ratio",0
"2000-2002","S01001798","19 And Under","Ratio",0
"2011-2013","S01001798","19 And Under","Ratio",0
"2003-2005","S01001798","35 And Over","Ratio",50
"2008-2010","S01001798","35 And Over","Ratio",50
"2009-2011","S01001798","35 And Over","Ratio",50
"2002-2004","S01001798","35 And Over","Ratio",50
"2000-2002","S01001798","35 And Over","Ratio",75
"2004-2006","S01001798","35 And Over","Ratio","14.29"
"2005-2007","S01001798","35 And Over","Ratio",25
"2001-2003","S01001798","35 And Over","Ratio","87.5"
"2006-2008","S01001798","35 And Over","Ratio","28.57"
"2007-2009","S01001798","35 And Over","Ratio",60
"2011-2013","S01001798","35 And Over","Ratio",50
"2010-2012","S01001798","35 And Over","Ratio","33.33"
"2008-2010","S01001799","35 And Over","Count",0
"2003-2005","S01001799","All","Count",10
"2000-2002","S01001799","35 And Over","Count",1
"2001-2003","S01001799","19 And Under","Count",5
"2007-2009","S01001799","All","Count",17
"2002-2004","S01001799","19 And Under","Count",5
"2009-2011","S01001799","35 And Over","Count",0
"2011-2013","S01001799","35 And Over","Count",0
"2001-2003","S01001799","All","Count",13
"2003-2005","S01001799","19 And Under","Count",6
"2006-2008","S01001799","All","Count",15
"2004-2006","S01001799","19 And Under","Count",8
"2005-2007","S01001799","35 And Over","Count",0
"2002-2004","S01001799","35 And Over","Count",0
"2006-2008","S01001799","35 And Over","Count",0
"2004-2006","S01001799","35 And Over","Count",0
"2005-2007","S01001799","19 And Under","Count",8
"2010-2012","S01001799","35 And Over","Count",0
"2003-2005","S01001799","35 And Over","Count",0
"2004-2006","S01001799","All","Count",13
"2006-2008","S01001799","19 And Under","Count",6
"2011-2013","S01001799","All","Count",9
"2007-2009","S01001799","35 And Over","Count",0
"2001-2003","S01001799","35 And Over","Count",0
"2005-2007","S01001799","All","Count",16
"2007-2009","S01001799","19 And Under","Count",5
"2008-2010","S01001799","19 And Under","Count",8
"2010-2012","S01001799","All","Count",17
"2009-2011","S01001799","19 And Under","Count",7
"2002-2004","S01001799","All","Count",11
"2009-2011","S01001799","All","Count",20
"2010-2012","S01001799","19 And Under","Count",8
"2000-2002","S01001799","19 And Under","Count",8
"2000-2002","S01001799","All","Count",16
"2011-2013","S01001799","19 And Under","Count",4
"2008-2010","S01001799","All","Count",22
"2001-2003","S01001799","19 And Under","Ratio","38.46"
